,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
3311,3311,41.0,34.0,7.0,38.0,31.0,7.0,0.0,38.0
3312,3312,38.0,33.0,5.0,38.0,33.0,5.0,0.0,38.0
3313,3313,3.0,2.0,1.0,3.0,2.0,1.0,0.0,3.0
3314,3314,71.0,65.0,6.0,70.0,64.0,6.0,0.0,70.0
3315,3315,21.0,16.0,5.0,21.0,16.0,5.0,0.0,21.0
3316,3316,23.0,21.0,2.0,23.0,21.0,2.0,0.0,23.0
3317,3317,17.0,15.0,2.0,17.0,15.0,2.0,0.0,17.0
3318,3318,80.0,74.0,6.0,58.0,55.0,3.0,0.0,58.0
3319,3319,9.0,8.0,1.0,9.0,8.0,1.0,0.0,9.0
3320,3320,274.0,251.0,23.0,0.0,0.0,0.0,0.0,0.0
3321,3321,148.0,141.0,7.0,148.0,141.0,7.0,0.0,148.0
3322,3322,51.0,49.0,2.0,50.0,48.0,2.0,0.0,50.0
3323,3323,3.0,0.0,3.0,3.0,0.0,3.0,0.0,3.0
3324,3324,6.0,0.0,6.0,6.0,0.0,6.0,0.0,6.0
3325,3325,46.0,40.0,6.0,46.0,40.0,6.0,0.0,46.0
3326,3326,7.0,5.0,2.0,7.0,5.0,2.0,0.0,7.0
3327,3327,11.0,4.0,7.0,11.0,4.0,7.0,0.0,11.0
3328,3328,89.0,81.0,8.0,0.0,0.0,0.0,0.0,0.0
3329,3329,4.0,1.0,3.0,4.0,1.0,3.0,0.0,4.0
3330,3330,5.0,0.0,5.0,2.0,0.0,2.0,0.0,2.0
3331,3331,76.0,73.0,3.0,76.0,73.0,3.0,0.0,76.0
3332,3332,17.0,15.0,2.0,17.0,15.0,2.0,0.0,17.0
3333,3333,13.0,8.0,5.0,2.0,0.0,2.0,0.0,2.0
3334,3334,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0
3335,3335,153.0,145.0,8.0,1.0,1.0,0.0,0.0,1.0
3336,3336,17.0,15.0,2.0,17.0,15.0,2.0,0.0,17.0
3337,3337,329.0,307.0,22.0,329.0,307.0,22.0,0.0,329.0
