,flight_id,causes,date,route_simple
128,128,Sin datos,1927-08-22,England
129,129,Sin datos,1927-09-03,Connecticut
130,130,Sin datos,1927-09-17,New Jersey
131,131,Sin datos,1927-09-17,Atlantic Ocean
132,132,Sin datos,1927-09-23,Germany
133,133,Sin datos,1927-10-06,Mauritania
134,134,Sin datos,1927-10-30,New Jersey
135,135,Sin datos,1927-11-08,France
136,136,Sin datos,1927-11-16,Over the Gulf of Finland
137,137,Sin datos,1927-11-29,Indiana
138,138,Sin datos,1927-12-28,Spain
139,139,Sin datos,1927-12-31,France
140,140,Sin datos,1928-01-08,New York
141,141,Sin datos,1928-01-16,Uruguay
142,142,Sin datos,1928-01-22,Ariège
143,143,Sin datos,1928-01-22,Spain
144,144,Sin datos,1928-01-27,Spain
145,145,Sin datos,1928-02-26,Nebraska
146,146,Sin datos,1928-03-11,France
147,147,Sin datos,1928-04-17,Wyoming
148,148,Sin datos,1928-04-19,Spain
149,149,Fuego en la cabina,1928-05-07,Brazil
150,150,Sin datos,1928-05-12,Minnesota
151,151,Sin datos,1928-05-26,Germany
152,152,Sin datos,1928-06-14,Germany
153,153,Sin datos,1928-06-22,Kansas
154,154,Sin datos,1928-07-10,Over the Gulf of Finland
155,155,Sin datos,1928-07-13,England
156,156,Sin datos,1928-07-24,Netherlands
157,157,Sin datos,1928-08-25,Canada
158,158,Sin datos,1928-09-02,France
159,159,Sin datos,1928-09-04,Australia
160,160,Sin datos,1928-09-04,Idaho
161,161,Sin datos,1928-09-06,Germany
162,162,Sin datos,1928-10-04,Spain
163,163,Sin datos,1928-10-18,Pennsylvania
164,164,Sin datos,1928-10-31,France
165,165,Sin datos,1928-11-15,Off Gibraltar
166,166,Sin datos,1928-11-24,Ohio
167,167,Sin datos,1928-11-25,Ohio
168,168,Sin datos,1928-11-25,Ohio
169,169,Sin datos,1928-12-01,Texas
170,170,Sin datos,1928-12-03,Brazil
171,171,Sin datos,1928-12-10,Washington
172,172,Sin datos,1928-12-11,Germany
173,173,Sin datos,1928-12-20,Ohio
174,174,Sin datos,1928-12-23,Tennessee
175,175,Sin datos,1928-12-31,France
176,176,Sin datos,1929-01-05,Connecticut
177,177,Sin datos,1929-01-18,Oregon
178,178,Sin datos,1929-01-25,Greece
