,flight_id,aircraft_type,helicopter,manufacter
4021,4021,Antonov AN-24,False,Antonov
4022,4022,de Havilland Canada DHC-3 Otter,False,de
4023,4023,de Havilland Canada DHC-6 Twin Otter 200,False,de
4024,4024,McDonnell Douglas DC-9-32,False,McDonnell
4025,4025,Britten Norman BN-2A-20 Trislander,False,Britten
4026,4026,Britten-Norman BN-2A-26 Islander,False,Britten-Norman
4027,4027,Ilyushin 76MD,False,Ilyushin
4028,4028,Boeing 727-286,False,Boeing
4029,4029,Sikorsky S-70 / Sikorsky S-70,False,Sikorsky
4030,4030,McDonnell Douglas DC-10-30,False,McDonnell
4031,4031,Harbin Yunshuji Y-12-II,False,Harbin
4032,4032,McDonnell Douglas MD-88,False,McDonnell
4033,4033,de Havilland Canada DHC-6 Twin Otter 300,False,de
4034,4034,Let 410,False,Let
4035,4035,Lockheed C-130H,False,Lockheed
4036,4036,de Havilland Canada DHC-6 Twin Otter 300,False,de
4037,4037,Boeing B-747-131,False,Boeing
4038,4038,Douglas DC-6A,False,Douglas
4039,4039,Fokker F-27 Friendship 600,False,Fokker
4040,4040,de Havilland Canada DHC-6 Twin Otter 300,False,de
4041,4041,Douglas DC-4,False,Douglas
4042,4042,Lockheed C-130H Hercules,False,Lockheed
4043,4043,de Havilland Canada DHC-3 Turbo Otter,False,de
4044,4044,Ilyushin IL-76T,False,Ilyushin
4045,4045,Tupolev TU-154M,False,Tupolev
4046,4046,Douglas DC-3C,False,Douglas
4047,4047,Boeing B-757-200,False,Boeing
4048,4048,de Havilland Canada DHC-6 Twin Otter 200,False,de
4049,4049,Antonov 12B,False,Antonov
4050,4050,Antonov An-124,False,Antonov
4051,4051,Boeing B-707-323C,False,Boeing
4052,4052,Yakovlev YAK-40,False,Yakovlev
4053,4053,Fokker 100,False,Fokker
4054,4054,Embraer 110P1 Bandeirante,False,Embraer
4055,4055,Boeing B-727-231,False,Boeing
4056,4056,Cessna 421C Golden Eagle,False,Cessna
4057,4057,Boeing B-747-168B / Ilyushin IL-76TD,False,Boeing
4058,4058,Antonov AN-2,False,Antonov
4059,4059,Beechcraft 1900-C / Beech King Air A90,False,Beechcraft
4060,4060,Lockheed HC-130P Hercules,False,Lockheed
4061,4061,Boeing B-767-260ER,False,Boeing
4062,4062,Ilyushin IL-76MD,False,Ilyushin
4063,4063,de Havilland Canada DHC-6 Twin Otter 300,False,de
4064,4064,CASA 212 Aviocar 100,False,CASA
4065,4065,Douglas C-47A,False,Douglas
4066,4066,Antonov AN-12,False,Antonov
4067,4067,Antonov An-32B,False,Antonov
4068,4068,McDonnell Douglas DC-8-63F,False,McDonnell
4069,4069,Learjet 35A,False,Learjet
4070,4070,Hindustan Aeronautics 748-2,False,Hindustan
4071,4071,de Havilland Canada DHC-6 Twin Otter 300,False,de
4072,4072,Embraer 120RT Brasilia,False,Embraer
4073,4073,de Havilland Canada DHC-4A Caribou,False,de
4074,4074,Embraer 110P1A Bandeirante,False,Embraer
4075,4075,Hawker Siddeley HS-748-353 Srs.2a,False,Hawker
4076,4076,CASA 212 Aviocar 200,False,CASA
4077,4077,Sikorsky CH53D / Sikorsky CH53D,False,Sikorsky
4078,4078,Boeing B-737-2C3,False,Boeing
4079,4079,IAI 1124 Westwind,False,IAI
4080,4080,Antonov AN-12B,False,Antonov
4081,4081,Lockheed C-130HF,False,Lockheed
4082,4082,Antonov AN-24RV,False,Antonov
4083,4083,Lockheed C-130H Hercules,False,Lockheed
4084,4084,Aviation Traders ATL-98 Carvair,False,Aviation
4085,4085,Cessna 208B Caravan I,False,Cessna
4086,4086,Fokker F-27 Friendship 600,False,Fokker
4087,4087,Yakovlev 40,False,Yakovlev
4088,4088,Lockheed C-130H Hercules,False,Lockheed
4089,4089,British Aerospace ATP,False,British
4090,4090,Antonov AN-26,False,Antonov
4091,4091,Boeing B-737-31B,False,Boeing
4092,4092,Vickers Viscount 781D,False,Vickers
4093,4093,Harbin Yunshuji Y-12 II,False,Harbin
4094,4094,Fokker F-27 Friendship 200,False,Fokker
4095,4095,Mil Mi-17 (helicopter),True,Mil
4096,4096,Fokker 100,False,Fokker
4097,4097,Antonov AN-24,False,Antonov
4098,4098,Fokker F-27 Friendship 600,False,Fokker
4099,4099,de Havilland Canada DHC-6 Twin Otter 300,False,de
4100,4100,BAC One-Eleven 203AE,False,BAC
4101,4101,Aerospatiale ATR-42-512,False,Aerospatiale
4102,4102,Boeing B-747-300,False,Boeing
4103,4103,McDonnell Douglas DC-8-61F,False,McDonnell
4104,4104,Dornier DO-228-212,False,Dornier
4105,4105,Pilatus PC-6 Turbo Porter / Cessna 206,False,Pilatus
4106,4106,Tupolev TU-134,False,Tupolev
4107,4107,Dornier 228-212,False,Dornier
4108,4108,de Havilland Canada DHC-6 Twin Otter 300,False,de
4109,4109,Tupolev TU-154M / C-141 Starlifter,False,Tupolev
4110,4110,Airbus A300-B4-200,False,Airbus
4111,4111,Cessna 208B Caravan I,False,Cessna
4112,4112,McDonnell Douglas DC-9-32,False,McDonnell
4113,4113,Lockheed C-130H Hercules,False,Lockheed
4114,4114,Rutan Long EZ (experimental aircraft),False,Rutan
4115,4115,Yakovlev YAK-40,False,Yakovlev
4116,4116,Cessna 208B Caravan I,False,Cessna
4117,4117,Antonov AN-124-100,False,Antonov
4118,4118,Embraer 110P1 Bandeirante,False,Embraer
4119,4119,Swearingen SA-226T Metro II,False,Swearingen
4120,4120,Tupolev TU-154,False,Tupolev
4121,4121,Yakovlev YAK-42,False,Yakovlev
4122,4122,Boeing B-737-300,False,Boeing
4123,4123,Lockheed C-130H Hercules,False,Lockheed
4124,4124,Antonov An-72,False,Antonov
4125,4125,Boeing B-747-122,False,Boeing
4126,4126,Britten Norman BN-2A Trislander,False,Britten
4127,4127,Let 410UVP,False,Let
4128,4128,Antonov AN-12BP,False,Antonov
4129,4129,Fokker F-27 Friendship 600,False,Fokker
4130,4130,McDonnell Douglas DC-9-32,False,McDonnell
4131,4131,Grummand EA-6B,False,Grummand
4132,4132,Antonov 12BP,False,Antonov
4133,4133,CASA 212-S1 Aviocar 100,False,CASA
4134,4134,Antonov AN-32,False,Antonov
4135,4135,Airbus A300-622R,False,Airbus
4136,4136,Boeing 707-336C,False,Boeing
4137,4137,Saab340B,False,Saab340B
4138,4138,Boeing B-727-228,False,Boeing
4139,4139,Airbus A.320-214,False,Airbus
4140,4140,Antonov AN-32,False,Antonov
4141,4141,Convair CV-240-53,False,Convair
4142,4142,Boeing B-727-230,False,Boeing
4143,4143,Boeing B-737-282,False,Boeing
4144,4144,Xian Yunshuji Y-7-100C,False,Xian
4145,4145,Yakovlev YAK-40,False,Yakovlev
4146,4146,Bell 206L-3,False,Bell
4147,4147,Harbin Yunshuji Y-12 II,False,Harbin
4148,4148,Swearingen SA-226TC Metroliner II,False,Swearingen
4149,4149,Eurocopter AS-350-BA,False,Eurocopter
4150,4150,Ilyushin 76MD,False,Ilyushin
4151,4151,Rockwell Sabreliner 60,False,Rockwell
4152,4152,Ilyushin II-76,False,Ilyushin
4153,4153,Shorts SC-7 Skyvan 3-100,False,Shorts
4154,4154,Consolidated PBY-5A Catalina,False,Consolidated
4155,4155,Swearingen SA.227AC Metro III,False,Swearingen
4156,4156,Embraer 110 Bandeirante,False,Embraer
4157,4157,Beechcraft 1900D / Cessna 177,False,Beechcraft
4158,4158,Dornier 228-201,False,Dornier
4159,4159,de Havilland Dash-2 Beaver,False,de
4160,4160,Antonov An-12BP,False,Antonov
4161,4161,Cessna 402C,False,Cessna
4162,4162,de Havilland Canada DHC-6 Twin Otter 300,False,de
4163,4163,DC-3-65TP,False,DC-3-65TP
4164,4164,Fokker F-27 Friendship 600,False,Fokker
4165,4165,Tupolev TU-154M,False,Tupolev
4166,4166,McDonnell Douglas MD-11,False,McDonnell
4167,4167,Antonov AN-26,False,Antonov
4168,4168,de Havilland Dash-2 float plane,False,de
4169,4169,Lockheed C-130B Hercules,False,Lockheed
4170,4170,British Aerospace BAe-146-100,False,British
4171,4171,de Havilland Canada DHC-6 Twin Otter 300,False,de
4172,4172,Antonov AN-24RV,False,Antonov
4173,4173,Douglas DC-3C,False,Douglas
4174,4174,Boeing B-727-30,False,Boeing
4175,4175,Yakovlev YAK-40,False,Yakovlev
4176,4176,Britten-Norman BN-2A-3 Islander,False,Britten-Norman
4177,4177,Douglas DC-3C,False,Douglas
4178,4178,Antonov AN-12,False,Antonov
4179,4179,Burgess RV-6 experimental,False,Burgess
4180,4180,Britten-Norman Trislander,False,Britten-Norman
4181,4181,Airbus A-310-204,False,Airbus
4182,4182,Antonov AN-12BP,False,Antonov
4183,4183,Antonov 12,False,Antonov
4184,4184,Antonov 32B,False,Antonov
4185,4185,Lockheed Martin L-100-30 Hercules,False,Lockheed
4186,4186,Lockheed L-100-30 Hercules,False,Lockheed
4187,4187,Fokker F-27 Friendship 600,False,Fokker
4188,4188,Boeing KC-135E,False,Boeing
4189,4189,Douglas DC-3C,False,Douglas
4190,4190,Britten Norman BN-2A-26,False,Britten
4191,4191,Antonov AN-26,False,Antonov
4192,4192,Antonov AN-12,False,Antonov
4193,4193,Britten Norman BN-2A Trislander,False,Britten
4194,4194,Lockheed L-188A Electra,False,Lockheed
4195,4195,Tupolev TU-154,False,Tupolev
4196,4196,Dornier 328-110,False,Dornier
4197,4197,Antonov AN-32 Transport,False,Antonov
4198,4198,Douglas DC-3C (C-47A-DK),False,Douglas
4199,4199,de Havilland Canada DHC-6 Twin Otter 300,False,de
4200,4200,Learjet 24D,False,Learjet
4201,4201,Boeing 737-4Q8,False,Boeing
4202,4202,de Havilland Canada DHC-6 Twin Otter 300,False,de
4203,4203,McDonnell Douglas MD-11,False,McDonnell
4204,4204,de Havilland Canada DHC-6 Twin Otter 300,False,de
4205,4205,de Havilland Canada DHC-4A,False,de
4206,4206,Let 410UVP-E,False,Let
4207,4207,McDonnell Douglas MD-82,False,McDonnell
4208,4208,Antonov 32,False,Antonov
4209,4209,Britten-Norman BN-2A-21 Islander,False,Britten-Norman
4210,4210,Eurocopter AS-350BA,False,Eurocopter
4211,4211,Embraer 110P2 Bandeirante,False,Embraer
4212,4212,de Havilland Canada DHC-3 Otter,False,de
4213,4213,Antonov 12B,False,Antonov
4214,4214,Fokker F-27 Friendship 600,False,Fokker
4215,4215,Douglas DC-6A,False,Douglas
4216,4216,Boeing 727-243F,False,Boeing
4217,4217,Hawker Siddeley HS-125,False,Hawker
4218,4218,Piper PA-32-R301 Saratoga II HP,False,Piper
4219,4219,Boeing B-747,False,Boeing
4220,4220,de Havilland Canada DHC-7-102,False,de
4221,4221,Embraer 110P1 Bandeirante,False,Embraer
4222,4222,Dornier 228-201,False,Dornier
4223,4223,McDonnell Douglas MD-11,False,McDonnell
4224,4224,McDonnell Douglas MD-90-30,False,McDonnell
4225,4225,Yakovlev YAK-40,False,Yakovlev
4226,4226,Boeing B-737-204C,False,Boeing
4227,4227,Hawker Siddeley HS-748-501 Super 2B,False,Hawker
4228,4228,Boeing 757-204,False,Boeing
4229,4229,Dassault Falcon 900B,False,Dassault
4230,4230,Embraer 110 Bandeirante,False,Embraer
4231,4231,Lockheed C-130A Hercules,False,Lockheed
4232,4232,Bell 214ST helicopter,True,Bell
