Date,Open,High,Low,Close,Adj Close,Volume
2009-12-29,115.000000,115.000000,115.000000,115.000000,111.373772,144
2009-12-30,114.750000,114.750000,114.000000,114.000000,110.405304,44
2009-12-31,114.000000,114.000000,114.000000,114.000000,110.405304,0
2010-01-04,115.750000,116.250000,115.750000,116.000000,112.342239,184
2010-01-05,116.500000,116.500000,116.500000,116.500000,112.826469,40
2010-01-06,117.500000,121.250000,117.500000,121.250000,117.426697,76
2010-01-07,122.500000,124.250000,122.500000,123.250000,119.363625,220
2010-01-08,122.250000,126.000000,122.250000,126.000000,122.026909,48
2010-01-11,127.000000,129.000000,126.750000,126.750000,122.753265,352
2010-01-12,125.250000,125.250000,124.750000,124.750000,120.816330,40
2010-01-13,131.250000,131.250000,130.750000,130.750000,126.627129,20
2010-01-14,134.000000,134.000000,130.500000,132.000000,127.837746,200
2010-01-15,132.250000,135.000000,132.250000,135.000000,130.743118,132
2010-01-19,133.250000,133.250000,133.250000,133.250000,129.048309,8
2010-01-20,133.250000,133.250000,133.250000,133.250000,129.048309,0
2010-01-21,126.500000,126.500000,122.000000,122.000000,118.153046,68
2010-01-22,121.000000,121.250000,117.750000,119.000000,115.247643,128
2010-01-25,121.000000,124.250000,119.500000,122.750000,118.879395,464
2010-01-26,122.750000,126.000000,122.000000,124.500000,120.574211,320
2010-01-27,124.250000,124.250000,119.500000,119.750000,115.973999,688
2010-01-28,122.250000,122.250000,119.250000,121.500000,117.668816,752
2010-01-29,121.250000,121.500000,117.750000,119.500000,115.731865,136
2010-02-01,120.750000,122.000000,120.750000,121.750000,117.910927,156
2010-02-02,129.250000,129.500000,127.000000,129.500000,125.416542,312
2010-02-03,129.500000,132.000000,129.500000,131.500000,127.353485,1156
2010-02-04,125.750000,125.750000,123.250000,123.250000,119.363625,184
2010-02-05,122.500000,127.500000,122.500000,126.250000,122.269035,72
2010-02-08,126.500000,126.500000,123.750000,123.750000,119.847862,264
2010-02-09,126.000000,126.000000,126.000000,126.000000,122.026909,12
2010-02-10,125.000000,126.750000,125.000000,126.750000,122.753265,64
2010-02-11,131.250000,131.750000,131.250000,131.750000,127.595596,92
2010-02-12,129.750000,129.750000,128.000000,129.000000,124.932304,92
2010-02-16,129.250000,130.000000,129.250000,130.000000,125.900780,52
2010-02-17,131.500000,131.500000,129.250000,129.250000,125.174438,180
2010-02-18,130.250000,131.500000,130.250000,130.750000,126.627129,208
2010-02-19,129.000000,129.750000,129.000000,129.750000,125.658669,28
2010-02-22,130.000000,131.000000,130.000000,131.000000,126.869232,20
2010-02-23,127.500000,127.500000,125.500000,125.500000,121.542686,208
2010-02-24,128.000000,129.750000,128.000000,128.750000,124.690201,204
2010-02-25,132.500000,139.750000,132.500000,138.750000,134.374863,84
